filename	date	time	dt_iso	preview
2024-08-29__585__сегодня_катя_зыкова_прислала_интервью_мной_которое.md	2024-08-29	03:17	2024-08-29T03:17:34+08:00	Сегодня Катя Зыкова прислала мне интервью со мной, которое она брала у меня 12 лет назад. Было лето, был йога - лагерь в Южном, прототип #sektacamp , но трен…
2024-08-30__600__устала_вечеру_так_хочется_орать.md	2024-08-30	02:47	2024-08-30T02:47:58+08:00	Устала к вечеру так, что хочется ОРАТЬ.  Хотя день был хороший, но вот после всех детских прогулок развлечений сборов переодеваний еще поехать в магазин за п…
2024-08-31__611__предложки_окр_блогеры_которые_прибираются_своей_квартире.md	2024-08-31	03:04	2024-08-31T03:04:41+08:00	Мои предложки - это ОКР блогеры которые прибираются в своей квартире и моют посудомойки. Мне откручивают рекламу чистящих средств с WB. Я даже часть из них з…
2024-08-31__612__попадаю_опыт_где_школе_садике_живу_существую.md	2024-08-31	03:04	2024-08-31T03:04:41+08:00	Я попадаю в опыт, где я в школе/садике живу существую никого не трогаю, и вот девочки исключают меня из круга, ведут себя так, как будто меня нет, конкурирую…
2024-09-01__623__сразу_хочется_принести_хайлайт_этого_дня_смотрела.md	2024-09-01	03:01	2024-09-01T03:01:13+08:00	Сразу хочется принести хайлайт этого дня. Я смотрела старые видео Вадима на ютубе, когда он еще продавал гитары, а потом практически сразу у нас был breathwo…
2024-09-01__626__тайне_парней_включила_диктофон_записать_чем_разговариваем.md	2024-09-01	16:27	2024-09-01T16:27:45+08:00	В тайне от парней включила диктофон чтобы записать о чем мы разговариваем за завтраком)
2024-09-02__643__осторожно_воскресный_гедонизм.md	2024-09-02	04:48	2024-09-02T04:48:22+08:00	Осторожно, воскресный гедонизм)  С Поляной мы сегодня прощались. Скорее всего в этот раз уже туда не доедем - осталось всего 4 дня до нашего отъезда, и я зад…
2024-09-02__644__совершенно_фантастический_стол_стоял_под_звездами_фруктами.md	2024-09-02	04:48	2024-09-02T04:48:22+08:00	Там совершенно фантастический стол стоял под звездами, с фруктами и чаем, и была лекция от искуствоведа о Борхесе и Брейгеле.  Собственно, это был прекрасный…
2024-09-03__656__сегодня_орала_внутри_снаружи_удивительная_фигня_вроде.md	2024-09-03	03:25	2024-09-03T03:25:45+08:00	Я сегодня просто ОРАЛА и внутри и снаружи. Удивительная фигня, вроде не сюрприз был, что сегодня первый день рабочий и первый день осени, но еще вчера мне ка…
2024-09-04__667__чем_ближе_отъезд_тем_сильнее_психоз_сказал.md	2024-09-04	04:19	2024-09-04T04:19:21+08:00	«Чем ближе отъезд - тем сильнее психоз» - сказал сегодня Вадим. Был какой-то момент когда мне казалось что мы хакнули баланс быта/работы/детских активностей …
2024-09-05__675__прикиньте_завела_этот_блог_когда_была_здесь.md	2024-09-05	03:44	2024-09-05T03:44:25+08:00	Прикиньте, завела этот блог, когда была здесь - и вот сейчас герой вашего ежевечернего чтива покидает привычный контекст и отправляется в приключения. Интере…
2024-09-06__695__ереванчик_так_много_конечно_всего_нас_было.md	2024-09-06	02:01	2024-09-06T02:01:30+08:00	Ереванчик. Так много тут конечно всего у нас было. Но по порядку. Мы прилетели из Сочи в 15:30 и поехали в отель. У меня на вечер в Ереване было запланирован…
