filename	date	time	dt_iso	preview
2020-11-18__105__делать_все_хотелось_впечатлить_его_было_не.md	2020-11-18	14:44	2020-11-18T14:44:18+08:00	делать все это - мне хотелось впечатлить его, но это было не минутное желание, оно как будто стало частью меня, оно трансформировало меня на клеточном уровне…
2020-11-18__106__любишь_её.md	2020-11-18	14:44	2020-11-18T14:44:42+08:00	любишь ты её А обо мне не вспоминаешь»  Другая - это Оля Клюкина, конечно. У нас с Антоном даже была подвеска с двумя половинками сердца. Кажется, я психанул…
2020-11-18__107__оля_клюкина_антон_надя_щинова_гаражи_моей.md	2020-11-18	14:54	2020-11-18T14:54:34+08:00	Оля Клюкина, Антон, Надя Щинова, гаражи за моей спиной - мой любимый двор на Фрунзе 62
2020-11-18__108__думаю_легко_поймёте_кто_здесь_леся_лаврова.md	2020-11-18	14:55	2020-11-18T14:55:54+08:00	Думаю, легко поймёте, кто здесь Леся Лаврова
2020-11-20__109__написано_много_не_пока_больше_выкладывать_иногда.md	2020-11-20	04:25	2020-11-20T04:25:05+08:00	У меня написано еще много, но я не буду пока больше выкладывать. У меня иногда случается аллергия на овершеринг - такое бывает и с инстой, и с музыкой: до оп…
2020-11-20__110__фотка_прям_любимая_песню_написала_сегодня_том.md	2020-11-20	04:29	2020-11-20T04:29:03+08:00	Фотка прям любимая. Песню написала сегодня, и там есть о том «от Невы до Москвы, от Стикс и до самой Леты». Так я и чувствую себя здесь, как будто на белой л…
2020-11-20__111__доброе_утро_недавно_юля_рассказала_историю_своей.md	2020-11-20	14:03	2020-11-20T14:03:47+08:00	Доброе утро! Недавно Юля рассказала мне историю о своей бабушке - как ее сдали в дом престарелых, а потом забрали обратно. Я ехала за рулём и плакала - насто…
2020-11-21__113__всегда_отследила_сильную_тревожность_рассказав_что-то_связанное.md	2020-11-21	02:06	2020-11-21T02:06:29+08:00	Как всегда отследила сильную тревожность, рассказав что-то связанное с папой, что имеет хоть каплю негатива. С самого детсва амортизирую все это в себе, не ж…
2020-11-22__114__выложу_вам_следующую_часть_отошла_немного.md	2020-11-22	22:56	2020-11-22T22:56:59+08:00	Выложу вам следующую часть 🙂 Отошла немного
2020-11-22__115__антон_многое_открывал_кажется_рассказал_плите_собираются.md	2020-11-22	22:57	2020-11-22T22:57:06+08:00	Антон многое мне открывал. Кажется, это он рассказал мне, что на «Плите» собираются неформалы - и что-то в этом меня очень задело. Мне так захотелось стать ч…
2020-11-22__116__так_закончилось_мое_первое_самостоятельное_приключение_вернулась.md	2020-11-22	22:57	2020-11-22T22:57:07+08:00	Так закончилось мое первое самостоятельное приключение. Я вернулась к своим друзьям во дворе уже совсем другим человеком, мне казалось, что я вырвалась из пр…
2020-11-22__117__равилось.md	2020-11-22	22:57	2020-11-22T22:57:07+08:00	равилось.  Благодаря постоянной практике английского во время летних каникул на первом уроке во втором классе я отвечала лучше всех, возможно, в первый раз в…
2020-11-23__118__кто_подглядел_дневнике_жалею_том_выложила_книгу.md	2020-11-23	04:34	2020-11-23T04:34:28+08:00	Кто подглядел у меня в дневнике «жалею о том что выложила книгу» задал мне вопрос: «почему?». Потому что воспринимают не как художественное произведение, а к…
2020-11-30__119__год_назад_случилось_предсказание_астролога_все_моей.md	2020-11-30	20:23	2020-11-30T20:23:41+08:00	Год назад случилось предсказание астролога, что все в моей жизни будет плохо, что я расстанусь с мужчиной, потеряю работу но при этом ещё раз рожу 😆
2021-01-28__123__летом_выглядела_хорошо_зимой_одежда_рынка_сильно.md	2021-01-28	23:30	2021-01-28T23:30:19+08:00	Летом я выглядела хорошо, а вот зимой одежда с рынка сильно бросалась в глаза на контрасте с магазинными пуховиками, дубленками и шубами. У меня была ненавис…
2021-02-28__124__создалось_ощущение_жизни_каждой_реально_красивой_девчонки.md	2021-02-28	20:30	2021-02-28T20:30:21+08:00	У меня создалось ощущение, что в жизни каждой РЕАЛЬНО красивой девчонки возникает такой момент, когда она делает серьезное лицо, характерно так поднимает рук…
2021-02-28__125__факту_наши_парочки_друзья_любым_доходом_даже.md	2021-02-28	20:30	2021-02-28T20:30:21+08:00	По факту наши парочки - друзья с любым доходом (даже та, у которой богатый муж, и уж тем более те, у кого на семью с детьми меньше 100к в месяц) объеденины п…
2021-02-28__126__нашли_пацана_вашей_маме_зять_не_нужен.md	2021-02-28	21:21	2021-02-28T21:21:47+08:00	Нашли пацана «вашей маме зять не нужен?» 😆 https://www.instagram.com/tascareaga/
2021-04-21__129__часто_завтракаю_ав-бистро_смоленской_сегодня_сидела_откуда-то.md	2021-04-21	20:15	2021-04-21T20:15:52+08:00	Я часто завтракаю в АВ-бистро на Смоленской. Сегодня сидела там, и откуда-то заиграла музыка из девяностых. Что-то такое, от чего детские воспоминания всколы…
2021-05-02__130__бедными_богатый_дяденька_дал_нам_микроавтобус_поехали.md	2021-05-02	03:49	2021-05-02T03:49:49+08:00	Мы были очень бедными, но богатый дяденька дал нам микроавтобус, чтобы мы поехали в тур по Европе. Тогда я нашла сайт «Couchsurfing», каким то чудом мы умудр…
2021-05-02__131__женя_волкова_рассказала_этот_горный_поселок_сейчас.md	2021-05-02	03:49	2021-05-02T03:49:50+08:00	Женя Волкова рассказала мне про этот горный поселок, я сейчас пишу эти строчки у нее в доме - так удивительно, что и на этой стороне кто-то может позвать теб…
2021-10-02__132__забытый_жанр_письма_считается_был_убит_мгновенными.md	2021-10-02	02:19	2021-10-02T02:19:52+08:00	Забытый жанр письма. Считается, что был убит мгновенными сообщениями, но хуй там. Чтобы написать письмо, надо попасть в особенное пространство без времени, к…
2021-10-02__133__могла_так_мной_говорить_так_будто_не.md	2021-10-02	02:19	2021-10-02T02:19:52+08:00	Она могла так со мной говорить, так быть - как будто я не живу на земле, а живу только там, оттуда приходят тексты и образы. Она обращалась к моему бессознат…
2021-10-02__134__залезла_архивы_была_вознаграждена_нашла_первую_демку.md	2021-10-02	02:37	2021-10-02T02:37:39+08:00	Залезла в архивы, и была вознаграждена - нашла первую демку sattamassagana, которую ей отправила первой. Ну и письмо/ 01.07.2010  Люди не умеют писать. Или и…
2021-10-03__135__кажется_вам_никогда_стихи_момента_не_читала.md	2021-10-03	22:12	2021-10-03T22:12:40+08:00	Мне кажется я вам ещё никогда стихи из момента не читала.
